Index,Name,Level,Type,Center Latitude,Center Longitude,Extent NS (miles),Extent EW (miles),Notes,Parent,IsPageScraped?,URL
652,Malawi Highlands,3,Highland or plateau,-14.16666667,35.53333333,649,710,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=652
653,Kalahari,3,Miscellaneous physical or political Feature,-22.6,20.43333333,869,1112,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=653
654,Zimbabwe Plateau,3,Highland or plateau,-20.36666667,30.7,662,726,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=654
655,South Africa Plateau,3,Highland or plateau,-27.65,23.2,714,834,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=655
656,Drakensberg,3,Mountain range with well-recognized name,-27.43333333,29.91666667,727,455,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=656
657,Cape Ranges,3,Bogus mountain grouping for this site,-32.68333333,23.1,298,611,,Southern Africa,Yes,http://peakbagger.com/range.aspx?rid=657
660,North Atlantic Islands,3,Archipelago,28.28333333,-16.51666667,1721,1096,,Mid-Atlantic Islands,Yes,http://peakbagger.com/range.aspx?rid=660
661,South Atlantic Islands,3,Archipelago,-37.11666667,-12.28333333,3495,2169,,Mid-Atlantic Islands,Yes,http://peakbagger.com/range.aspx?rid=661
670,North Indian Ocean Islands,3,Archipelago,12.51666667,53.91666667,1578,1525,,Indian Ocean Islands,Yes,http://peakbagger.com/range.aspx?rid=670
671,Mozambique Channel,3,Archipelago,-11.65,43.36666667,900,412,,Indian Ocean Islands,Yes,http://peakbagger.com/range.aspx?rid=671
672,Madagascar,3,Island,-18.78333333,46.85,944,475,,Indian Ocean Islands,Yes,http://peakbagger.com/range.aspx?rid=672
673,Mascarene Islands,3,Archipelago,-21.11666667,55.53333333,117,536,,Indian Ocean Islands,Yes,http://peakbagger.com/range.aspx?rid=673
674,South Indian Ocean Islands,3,Archipelago,-49.2,69.65,2834,3445,,Indian Ocean Islands,Yes,http://peakbagger.com/range.aspx?rid=674
700,Western New Guinea Peninsula,3,Peninsula,-2.233333333,134.05,319,386,,New Guinea,Yes,http://peakbagger.com/range.aspx?rid=700
701,Northern New Guinea Coast Ranges,3,Bogus mountain grouping for this site,-4.116666667,141.8833333,423,900,,New Guinea,Yes,http://peakbagger.com/range.aspx?rid=701
702,Maoke Range,3,Mountain range with well-recognized name,-6.116666667,139.0333333,495,617,,New Guinea,Yes,http://peakbagger.com/range.aspx?rid=702
703,New Guinea Central Highlands,3,Highland or plateau,-6.133333333,143.65,392,381,,New Guinea,Yes,http://peakbagger.com/range.aspx?rid=703
704,Owen Stanley Range,3,Mountain range with well-recognized name,-8.65,147.4166667,770,549,,New Guinea,Yes,http://peakbagger.com/range.aspx?rid=704
710,Western Australia Ranges,3,Bogus mountain grouping for this site,-27.26666667,119.6166667,1088,809,,Lesser Australian Ranges,Yes,http://peakbagger.com/range.aspx?rid=710
711,Northern Australia Ranges,3,Bogus mountain grouping for this site,-16.36666667,130.5833333,736,1232,,Lesser Australian Ranges,Yes,http://peakbagger.com/range.aspx?rid=711
712,Central Australia Ranges,3,Bogus mountain grouping for this site,-25.48333333,131.85,991,895,,Lesser Australian Ranges,Yes,http://peakbagger.com/range.aspx?rid=712
713,South Australia Ranges,3,Bogus mountain grouping for this site,-29.38333333,138.4833333,896,761,,Lesser Australian Ranges,Yes,http://peakbagger.com/range.aspx?rid=713
714,Tasmania,3,Island,-42.15,146.4833333,290,240,,Lesser Australian Ranges,Yes,http://peakbagger.com/range.aspx?rid=714
720,Cape York Ranges,3,Mountain range with well-recognized name,-15.96666667,144.0833333,779,452,,Great Dividing Range,Yes,http://peakbagger.com/range.aspx?rid=720
721,South Queensland Great Dividing Range,3,Politically-defined sub-range,-24.15,145.6666667,914,971,,Great Dividing Range,Yes,http://peakbagger.com/range.aspx?rid=721
722,North N.S.W. Great Dividing Range,3,Politically-defined sub-range,-29.85,149.9833333,421,437,,Great Dividing Range,Yes,http://peakbagger.com/range.aspx?rid=722
723,South N.S.W. Great Dividing Range,3,Politically-defined sub-range,-33.71666667,146.85,523,569,,Great Dividing Range,Yes,http://peakbagger.com/range.aspx?rid=723
724,Victoria Alps,3,Mountain range with well-recognized name,-36.58333333,144.4833333,354,609,,Great Dividing Range,Yes,http://peakbagger.com/range.aspx?rid=724
730,New Zealand North Island,3,Island,-38,175.6,498,322,"<br><p>The North Island of New Zealand is dominated topographically by large volcanic cones looming over the landscape.  The highest is recently-erupted (1996) Ruapehu (9177'/2797m), in the center of the North Island, and two lower peaks to the north, Ngauruhoe (7516'/2291m) and Tongariro (6457'/1968') are part of the same range.  All three volcanos are part of Tongariro National Park, and Ruapehu offers skiing at two areas on its slopes, as long as there is no threat of lava flowing down onto skiers.</p><p>On an bulge on the North Island's west coast lies another volcano, Taranaki (8261'/2518m).  Once known as Mount Egmont, it is the second highest peak on the island and an alomst perfect cone in the tradition of Japan's Fuji.</p><p>The remainder of the North Island is often very wrinkled topographically, but harbors only high hills and no major summits.  Excluding the four big volcanoes, the highest summit is lowly Te Aroha (3123'/952m).  <table width=""95%"" align=""center"">    </table>",New Zealand,Yes,http://peakbagger.com/range.aspx?rid=730
731,Lesser South Island Ranges,3,Bogus mountain grouping for this site,-43.6,171.9166667,426,399,,New Zealand,Yes,http://peakbagger.com/range.aspx?rid=731
732,Southern Alps,3,Mountain range with well-recognized name,-43.68333333,170.2833333,194,225,,New Zealand,Yes,http://peakbagger.com/range.aspx?rid=732
733,Minor Australia-New Zealand Outlying Islands,3,Archipelago,-46.98333333,167.8333333,2581,19912,,New Zealand,Yes,http://peakbagger.com/range.aspx?rid=733
740,Marianas,3,Archipelago,13.45,144.7833333,384,82,,Micronesia,Yes,http://peakbagger.com/range.aspx?rid=740
741,Southern and Eastern Micronesia,3,Archipelago,7.533333333,134.5666667,1850,3054,,Micronesia,Yes,http://peakbagger.com/range.aspx?rid=741
750,Bismarck Archipelago,3,Archipelago,-5.216666667,151.5333333,345,541,,Melanesia,Yes,http://peakbagger.com/range.aspx?rid=750
751,Solomon Islands,3,Archipelago,-6.15,155.3166667,511,569,,Melanesia,Yes,http://peakbagger.com/range.aspx?rid=751
752,Vanuatu,3,Archipelago,-15.15,167.05,689,302,,Melanesia,Yes,http://peakbagger.com/range.aspx?rid=752
753,New Caledonia,3,Archipelago,-21.28333333,165.5166667,248,530,,Melanesia,Yes,http://peakbagger.com/range.aspx?rid=753
754,Fiji,3,Archipelago,-17.78333333,177.9666667,742,24139,,Melanesia,Yes,http://peakbagger.com/range.aspx?rid=754
760,Hawaii,3,Archipelago,19.58333333,-155.4333333,229,352,,Polynesia,Yes,http://peakbagger.com/range.aspx?rid=760
761,Central Polynesia,3,Archipelago,1.883333333,-157.6666667,1947,4267,,Polynesia,Yes,http://peakbagger.com/range.aspx?rid=761
762,Samoa,3,Archipelago,-13.61666667,-172.4833333,81,456,,Polynesia,Yes,http://peakbagger.com/range.aspx?rid=762
763,Southern Polynesia,3,Archipelago,-17.68333333,-149.3833333,1263,3104,,Polynesia,Yes,http://peakbagger.com/range.aspx?rid=763
800,Antarctic Peninsula,3,Peninsula,-70.23333333,-66.55,1154,794,,West Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=800
801,West Antarctic Ice Cap,3,Miscellaneous physical or political Feature,-78.95,-93.6,1146,1730,,West Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=801
802,Ellsworth Mountains,3,Mountain range with well-recognized name,-78.93333333,-84.28333333,249,139,,West Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=802
803,Coastal West Antarctica,3,Miscellaneous physical or political Feature,-79.45,-145.85,851,928,,West Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=803
810,Victoria Land,3,Miscellaneous physical or political Feature,-72.06666667,164.1333333,402,288,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=810
811,Prince Albert-McMurdo,3,Bogus mountain grouping for this site,-77.15,160.1833333,511,247,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=811
812,Queen Alexandra Range,3,Mountain range with well-recognized name,-82.78333333,161.6666667,347,175,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=812
813,Queen Maud Mountains,3,Mountain range with well-recognized name,-85.75,-152.1166667,251,1987,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=813
814,Horlick Mountains,3,Mountain range with well-recognized name,-85.6,-123.9333333,158,140,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=814
815,Thiel Mountains,3,Mountain range with well-recognized name,-84.98333333,-91.9,181,244,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=815
816,Pensacola Mountains,3,Mountain range with well-recognized name,-84.03333333,-61.36666667,313,238,,Transantarctic Mountains,Yes,http://peakbagger.com/range.aspx?rid=816
820,Queen Maud Land Coast,3,Miscellaneous physical or political Feature,-72.06666667,8.5,481,1329,,East Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=820
821,Wilkes Land Coast,3,Miscellaneous physical or political Feature,-69.66666667,157.4666667,617,3037,,East Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=821
822,East Antarctic Ice Cap,3,Miscellaneous physical or political Feature,-78.08333333,0.066666667,1637,5123,,East Antarctica Ranges,Yes,http://peakbagger.com/range.aspx?rid=822
1000,De Long Mountains,4,Mountain range with well-recognized name,68.53333333,-162.2333333,213,233,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1000
1001,Colville Area,4,Bogus mountain grouping for this site,69.48333333,-156.4666667,255,294,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1001
1002,Baird Mountains,4,Mountain range with well-recognized name,67.33333333,-160.4,111,142,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1002
1003,Schwatka Mountains,4,Mountain range with well-recognized name,67.4,-156.3166667,83,107,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1003
1004,Endicott Mountains,4,Mountain range with well-recognized name,68.36666667,-152.3,248,151,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1004
1005,Philip Smith Mountains,4,Mountain range with well-recognized name,68.55,-148.2333333,271,183,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1005
1006,Eastern Brooks Range,4,Mountain range with well-recognized name,68.35,-142.1333333,246,262,,Brooks Range,Yes,http://peakbagger.com/range.aspx?rid=1006
1010,Seward Peninsula Ranges,4,Mountain range with well-recognized name,65.46666667,-164.3666667,157,216,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1010
1011,Kobuk-Koyukuk Ranges,4,Bogus mountain grouping for this site,66.41666667,-157.5166667,107,281,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1011
1012,Nulato Hills,4,Mountain range with well-recognized name,63.96666667,-160.2166667,330,238,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1012
1013,Bering Sea Islands,4,Archipelago,63.36666667,-170.2666667,641,252,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1013
1014,Kuskokwim Mountains,4,Mountain range with well-recognized name,61.8,-158.0666667,470,530,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1014
1015,Yukon-Koyukuk Ranges,4,Bogus mountain grouping for this site,65.93333333,-151.7833333,176,335,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1015
1016,North Fairbanks Area,4,Bogus mountain grouping for this site,65.58333333,-148,141,228,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1016
1017,East Central Alaska,4,Bogus mountain grouping for this site,63.76666667,-143.65,291,261,,Alaska Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1017
1020,West Alaska Range,4,Geographically-defined sub-range,62,-153.95,150,182,,Alaska Range,Yes,http://peakbagger.com/range.aspx?rid=1020
1021,Tordrillo Mountains,4,Mountain range with well-recognized name,61.45,-151.6833333,74,81,,Alaska Range,Yes,http://peakbagger.com/range.aspx?rid=1021
1022,West-Central Alaska Range,4,Geographically-defined sub-range,63.25,-151.7666667,229,186,,Alaska Range,Yes,http://peakbagger.com/range.aspx?rid=1022
1023,Hayes Range,4,Geographically-defined sub-range,63.55,-147.8833333,173,147,,Alaska Range,Yes,http://peakbagger.com/range.aspx?rid=1023
1024,Delta Range,4,Geographically-defined sub-range,63.25,-144.4666667,130,95,,Alaska Range,Yes,http://peakbagger.com/range.aspx?rid=1024
1030,Aleutian Islands,4,Archipelago,54.71666667,-164,287,14813,,Aleutian Ranges,Yes,http://peakbagger.com/range.aspx?rid=1030
1031,Alaska Peninsula Ranges,4,Peninsula,57.16666667,-158.3166667,329,380,,Aleutian Ranges,Yes,http://peakbagger.com/range.aspx?rid=1031
1032,Northwest Aleutian Range,4,Geographically-defined sub-range,59.91666667,-155.1833333,180,235,,Aleutian Ranges,Yes,http://peakbagger.com/range.aspx?rid=1032
1033,Chigmit Mountains,4,Mountain range with well-recognized name,60.21666667,-153.4,121,116,,Aleutian Ranges,Yes,http://peakbagger.com/range.aspx?rid=1033
1040,Talkeetna Mountains,4,Mountain range with well-recognized name,62.03333333,-147.9,111,173,,South-Central Alaska,Yes,http://peakbagger.com/range.aspx?rid=1040
1041,Wrangell Mountains,4,Mountain range with well-recognized name,62.35,-142.95,144,158,,South-Central Alaska,Yes,http://peakbagger.com/range.aspx?rid=1041
1042,Chugach Mountains,4,Mountain range with well-recognized name,61.03333333,-145.7166667,150,291,,South-Central Alaska,Yes,http://peakbagger.com/range.aspx?rid=1042
1043,Kenai Mountains,4,Mountain range with well-recognized name,60.1,-149.9833333,143,267,,South-Central Alaska,Yes,http://peakbagger.com/range.aspx?rid=1043
1044,Kodiak Island,4,Island,57.36666667,-153.4833333,221,187,,South-Central Alaska,Yes,http://peakbagger.com/range.aspx?rid=1044
1050,Northern Saint Elias Mountains,4,Geographically-defined sub-range,61.3,-140.4333333,97,182,,Saint Elias Mountains,Yes,http://peakbagger.com/range.aspx?rid=1050
1051,Southern Icefield Ranges,4,Geographically-defined sub-range,60.15,-140.25,138,172,,Saint Elias Mountains,Yes,http://peakbagger.com/range.aspx?rid=1051
1052,Fairweather Range,4,Mountain range with well-recognized name,58.83333333,-137.3166667,87,92,,Saint Elias Mountains,Yes,http://peakbagger.com/range.aspx?rid=1052
1053,Alsek Ranges,4,Mountain range with well-recognized name,59.46666667,-136.5333333,177,105,,Saint Elias Mountains,Yes,http://peakbagger.com/range.aspx?rid=1053
1060,Porcupine River Ranges,4,Mountain range with well-recognized name,66.3,-140.7166667,184,262,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1060
1061,Richardson Mountains,4,Mountain range with well-recognized name,67.58333333,-136.9,254,159,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1061
1062,Ogilvie Mountains,4,Mountain range with well-recognized name,64.36666667,-137.2666667,138,244,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1062
1063,North Yukon Plateau Ranges,4,Bogus mountain grouping for this site,62.91666667,-135.5333333,158,266,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1063
1064,Pelly Mountains,4,Mountain range with well-recognized name,61.58333333,-133.1833333,179,273,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1064
1065,South Yukon Plateau Ranges,4,Bogus mountain grouping for this site,60.96666667,-136.0166667,308,289,,Yukon Intermountain Ranges,Yes,http://peakbagger.com/range.aspx?rid=1065
1070,Northwest Mackenzie Mountains,4,Geographically-defined sub-range,64.95,-134.2166667,142,176,,Mackenzie Mountains,Yes,http://peakbagger.com/range.aspx?rid=1070
1071,Selwyn Mountains,4,Mountain range with well-recognized name,61.7,-128.2833333,334,330,,Mackenzie Mountains,Yes,http://peakbagger.com/range.aspx?rid=1071
1072,Backbone Ranges,4,Mountain range with well-recognized name,63.08333333,-127.1666667,284,373,,Mackenzie Mountains,Yes,http://peakbagger.com/range.aspx?rid=1072
1073,Canyon Ranges,4,Mountain range with well-recognized name,64.86666667,-129.1666667,393,348,,Mackenzie Mountains,Yes,http://peakbagger.com/range.aspx?rid=1073
1100,Parry Islands,4,Archipelago,75.63333333,-111.5,301,312,,Queen Elizabeth Islands,Yes,http://peakbagger.com/range.aspx?rid=1100
1101,Central Queen Elizabeth Islands,4,Archipelago,75.83333333,-100.05,395,197,,Queen Elizabeth Islands,Yes,http://peakbagger.com/range.aspx?rid=1101
1102,Princess Margaret Mountains,4,Mountain range with well-recognized name,79.75,-90.83333333,224,146,,Queen Elizabeth Islands,Yes,http://peakbagger.com/range.aspx?rid=1102
1103,Ellesmere Island,4,Island,79.61666667,-76.55,482,383,,Queen Elizabeth Islands,Yes,http://peakbagger.com/range.aspx?rid=1103
1104,Devon Island,4,Island,75.76666667,-82.08333333,180,317,,Queen Elizabeth Islands,Yes,http://peakbagger.com/range.aspx?rid=1104
1110,Banks Island,4,Island,72.81666667,-120.55,240,219,,South Canadian Arctic Islands,Yes,http://peakbagger.com/range.aspx?rid=1110
1111,Victoria Island,4,Island,70.91666667,-109.9833333,415,434,,South Canadian Arctic Islands,Yes,http://peakbagger.com/range.aspx?rid=1111
1112,Peel Sound Area,4,Archipelago,71.81666667,-94.16666667,418,285,,South Canadian Arctic Islands,Yes,http://peakbagger.com/range.aspx?rid=1112
1113,Foxe Basin,4,Archipelago,68,-84.2,596,522,,South Canadian Arctic Islands,Yes,http://peakbagger.com/range.aspx?rid=1113
1200,Alexander Archipelago,4,Archipelago,55.51666667,-132.8833333,266,216,,Northwest Coast Islands,Yes,http://peakbagger.com/range.aspx?rid=1200
1201,Queen Charlotte Islands,4,Archipelago,53.15,-132.0666667,159,93,,Northwest Coast Islands,Yes,http://peakbagger.com/range.aspx?rid=1201
1202,North B.C. Coast Islands,4,Archipelago,52.78333333,-128.8166667,221,161,,Northwest Coast Islands,Yes,http://peakbagger.com/range.aspx?rid=1202
1203,Vancouver Island,4,Island,49.6,-125.85,177,244,,Northwest Coast Islands,Yes,http://peakbagger.com/range.aspx?rid=1203
1204,Inside Passage Islands,4,Archipelago,48.25,-122.7,210,251,,Northwest Coast Islands,Yes,http://peakbagger.com/range.aspx?rid=1204
1210,Boundary Ranges,4,Mountain range with well-recognized name,57.78333333,-133.0166667,426,320,,Coast Mountains,Yes,http://peakbagger.com/range.aspx?rid=1210
1211,Kitimat Ranges,4,Mountain range with well-recognized name,53.91666667,-128.3166667,238,177,,Coast Mountains,Yes,http://peakbagger.com/range.aspx?rid=1211
1212,Northern Pacific Ranges,4,Geographically-defined sub-range,51.4,-126.15,143,151,,Coast Mountains,Yes,http://peakbagger.com/range.aspx?rid=1212
1213,Southern Pacific Ranges,4,Geographically-defined sub-range,50.45,-123.25,187,162,,Coast Mountains,Yes,http://peakbagger.com/range.aspx?rid=1213
1220,Olympic Mountains,4,Mountain range with well-recognized name,47.65,-123.6666667,101,99,"<br><p>For their height, the Olympic Mountains are quite possibly the most spectacular mountains in the world outside of the polar regions.  Nowhere do the Olympics crack the 8000 foot barrier, making them of almost Appalachian stature, but their incredible array of jagged peaks, massive glaciers, and epic approach marches is only matched in one or two other ranges in the entire ""Lower 48"" United States.    <p>The principal fact of life in the Olympics is its justifiably famous precipitation, in many places well over 200 inches per year.  Down low the nearly continuous rain supports lush temprate rain forests that blanket the western and southern slopes of the mountains, and up higher the massive amounts of snowfall create the large glaciers and snowfields that give the Olympics their awesome alpine character.</p><p>Before you write off a trip to the Olympics because you don't like being fogbound and miserably wet, bear in mind that although winter can sometimes mean solid months without sun, there are often week-long stretches during the summer when hot, humid weather and clear blue skies settle in.  During these times the Olympics are a delight--the views of the Pacific Ocean, the strait of Juan de Fuca, Puget Sound, Vancouver Island, and the Cascade Range are devastating.  Also, the northeastern areas of the Olympic Peninsula are among the driest in the Pacific Northwest, because the main bulk of the Olympics create a rain shadow.</p><table width=""95%"" align=""center"">  </table>",Northwest U.S. Coast Ranges,Yes,http://peakbagger.com/range.aspx?rid=1220
1221,Washington Coastal Hills,4,Bogus mountain grouping for this site,47.01666667,-123.3,127,83,,Northwest U.S. Coast Ranges,Yes,http://peakbagger.com/range.aspx?rid=1221
1222,Oregon Coast Range,4,Politically-defined sub-range,44.35,-123.5833333,266,96,,Northwest U.S. Coast Ranges,Yes,http://peakbagger.com/range.aspx?rid=1222
1223,Klamath Mountains,4,Mountain range with well-recognized name,41.6,-123.3333333,155,113,,Northwest U.S. Coast Ranges,Yes,http://peakbagger.com/range.aspx?rid=1223
1224,Northern California Coast Range,4,Politically-defined sub-range,39.66666667,-122.95,257,154,,Northwest U.S. Coast Ranges,Yes,http://peakbagger.com/range.aspx?rid=1224
1230,Central California Coast Ranges,4,Politically-defined sub-range,36.51666667,-120.8166667,220,189,,Central and Southern California Ranges,Yes,http://peakbagger.com/range.aspx?rid=1230
1231,Transverse Ranges,4,Mountain range with well-recognized name,34.48333333,-118.4833333,108,249,,Central and Southern California Ranges,Yes,http://peakbagger.com/range.aspx?rid=1231
1232,Peninsular Southern California Ranges,4,Bogus mountain grouping for this site,33.33333333,-116.3333333,131,346,,Central and Southern California Ranges,Yes,http://peakbagger.com/range.aspx?rid=1232
1240,Northern Baja California,4,Geographically-defined sub-range,29.95,-114.7166667,380,368,,Baja California,Yes,http://peakbagger.com/range.aspx?rid=1240
1241,Southern Baja California,4,Geographically-defined sub-range,25.36666667,-111.5333333,345,355,,Baja California,Yes,http://peakbagger.com/range.aspx?rid=1241
1250,North Cascades,4,Mountain range with well-recognized name,48.93333333,-121.2833333,206,171,"<br><p>The North Cascades the largest area of sustained high-quality glaciated alpine terrain in the contiguous 48 U.S. states.  The massive volcanos of the more southern reaches of the Cascade Range, such as Mounts Rainier, Adams, Hood, and Shasta, are far higher and have larger glaciers, but they stand alone, isolated from each other by large areas of relatively flat forest.  The North Cascades, though, are mostly non-volcanic, and form a extremely rugged, difficult, remote, and challenging mass of glaciated alpine mountains.  <p>This site uses Stevens Pass and U.S. 2 as the southern border of the North Cascades, but sometimes Snoqualmie Pass and I-90 further south are used as the divider.  The Fraser River in Canada is the clear northern border, and the Columbia and Okanogan Rivers form the eastern edge of the area.  To the northeast, the North Cascades merge indistinctly into the plateaus of British Colubmia, well beyond the point where the mountains have become low and unimpressive.  <p>The North Cascades get massive amounts of precipitation, giving them an abundance of crevassed glaciers and jagged, ice-carved faces, but also deep, jungly rainforest on the lower slopes.  Climbing a major North Cascades summit often means a miserable bushwhack though deep undergrowth, followed by alpine challenge on the ice above.  Good trails get hikers and climbers through the forest to timberline on most popular routes, but approaches are still long and the weather is usually unsettled.  <p>Mount Baker and Glacier Peak are the only 10,000-foot summits in the North Cascades, the only volcanoes, and the most popular and easy to climb major summits.  The remainder of the range bears little resemblance to the two highest peaks; the seven or so peaks in the 9,000 to 10,000 foot range are primarily a fearsome group of jagged monsters that require solid technical climbing ability.  Bonanza Peak, Mount Goode, Mount Logan, and Mount Buckner are as big and hard as mountains come in the U.S. outside Alaska.<table width=""95%"" align=""center""></table>",Cascade Range,Yes,http://peakbagger.com/range.aspx?rid=1250
1251,South Washington Cascades,4,Politically-defined sub-range,46.78333333,-121.4833333,171,143,,Cascade Range,Yes,http://peakbagger.com/range.aspx?rid=1251
1252,Oregon Cascades,4,Politically-defined sub-range,43.8,-122.0833333,266,129,"<br><p>The Oregon Cascades are a wide swath of forested hills and low summits dominated by several volcanic cones towering into the sky.  Mounts Hood, Jefferson, the Sisters, Thielsen, Crater Lake, McLoughlin, and a few lower, more-eroded volcanoes are so prominent that the remainder of the Oregon Cascades are almost an afterthought.  Washington's North Cascades have an impressive array of high, jagged non-volcanic peaks to complement their volcanoes, but Oregon follows the pattern established in far southern Washington, where volcanoes are king and the remainder is largely logged-over foothills.  <table width=""95%"" align=""center""></table>",Cascade Range,Yes,http://peakbagger.com/range.aspx?rid=1252
1253,California Cascades,4,Politically-defined sub-range,41.03333333,-121.6666667,154,95,,Cascade Range,Yes,http://peakbagger.com/range.aspx?rid=1253
1260,Northern Sierra Nevada,4,Geographically-defined sub-range,39.58333333,-120.9166667,115,125,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1260
1261,Lake Tahoe-Sonora Pass Sierra Nevada,4,Bogus mountain grouping for this site,38.55,-120.6333333,134,129,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1261
1262,Yosemite-Ritter Sierra Nevada,4,Bogus mountain grouping for this site,37.56666667,-120.1166667,110,116,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1262
1263,Central Sierra Nevada,4,Geographically-defined sub-range,37.15,-119.2666667,99,118,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1263
1264,Sequoia Sierra Nevada,4,Bogus mountain grouping for this site,36.38333333,-119.05,71,112,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1264
1265,Southern Sierra Nevada,4,Geographically-defined sub-range,35.61666667,-118.6666667,114,90,,Sierra Nevada,Yes,http://peakbagger.com/range.aspx?rid=1265
1300,Stikine Plateau,4,Highland or plateau,59,-130.85,150,121,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1300
1301,Cassiar Mountains,4,Mountain range with well-recognized name,58.66666667,-129.1833333,297,256,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1301
1302,Skeena Mountains,4,Mountain range with well-recognized name,56.26666667,-128.25,259,194,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1302
1303,Omineca Mountains,4,Mountain range with well-recognized name,56.33333333,-125.4833333,178,159,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1303
1304,Nechacko Plateau,4,Highland or plateau,54.2,-124.7833333,189,192,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1304
1305,Fraser Plateau,4,Highland or plateau,52.35,-124.2833333,131,171,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1305
1306,Quesnel Highland,4,Highland or plateau,52.96666667,-121.5,179,112,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1306
1307,Fraser-Thompson Plateau,4,Highland or plateau,51.2,-121.2666667,134,99,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1307
1308,Thompson Plateau,4,Highland or plateau,50.03333333,-120.3,153,92,,British Columbia Interior,Yes,http://peakbagger.com/range.aspx?rid=1308
1310,Cariboo Mountains,4,Mountain range with well-recognized name,53.01666667,-120.65,147,127,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1310
1311,Shuswap Highland,4,Highland or plateau,51.16666667,-119.4666667,131,97,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1311
1312,Okanogan Highlands,4,Highland or plateau,49.1,-119.1166667,166,56,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1312
1313,Monashee Mountains,4,Mountain range with well-recognized name,50.31666667,-118.55,343,81,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1313
1314,Selkirk Mountains,4,Mountain range with well-recognized name,49.78333333,-117.5,326,106,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1314
1315,Purcell Mountains,4,Mountain range with well-recognized name,49.93333333,-116.3333333,218,102,,Columbia Mountains,Yes,http://peakbagger.com/range.aspx?rid=1315
1320,North Columbia Plateau,4,Highland or plateau,46.86666667,-118.7666667,175,238,,Columbia Plateau,Yes,http://peakbagger.com/range.aspx?rid=1320
1321,Blue Mountains,4,Mountain range with well-recognized name,45.21666667,-118.7666667,203,184,,Columbia Plateau,Yes,http://peakbagger.com/range.aspx?rid=1321
